Average across indicators in percent,,,,,,,,,,,,,,,,,,
Data Point,Data for at least two years since 2015,,,,,,,,,,,,,,,,,
Nature,All,,,,,,,,,,,,,,,,,
Analysis Type,Compare countries across all goals,,,,,,,,,,,,,,,,,
Visualization Type,Country-goal matrix,,,,,,,,,,,,,,,,,
Country,World (total) by SDG regions,,,,,,,,,,,,,,,,,
Legend,NA - Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
212,Dominica,19.28571428571429 %,41.785714285714285 %,34.48717948717949 %,36.333333333333336 %,4.166666666666666 %,41.51785714285714 %,100 %,25 %,31.25 %,35.833333333333336 %,5.555555555555555 %,36.36363636363637 %,5 %,34.11764705882353 %,46.96428571428571 %,21.296296296296298 %,66.41975308641975 %
214,Dominican Republic,56.904761904761905 %,56.785714285714285 %,69.61538461538463 %,56.61904761904761 %,50 %,81.32440476190477 %,100 %,68.75 %,54.6875 %,63.33333333333333 %,11.11111111111111 %,40 %,5 %,34.705882352941174 %,72.3809523809524 %,28.750000000000004 %,77.0679012345679 %
218,Ecuador,65.85034013605443 %,55.53571428571429 %,67.6923076923077 %,68.80952380952381 %,41.66666666666667 %,76.63690476190477 %,100 %,67.70833333333334 %,70.3125 %,54.40476190476191 %,36.93121693121693 %,41.81818181818181 %,15.999999999999998 %,54.70588235294118 %,61.42857142857142 %,27.45370370370371 %,71.51234567901236 %
818,Egypt,38.69047619047619 %,49.28571428571429 %,66.41025641025641 %,70.14285714285714 %,23.61111111111111 %,54.761904761904766 %,100 %,69.79166666666666 %,82.8125 %,45.83333333333333 %,28.703703703703702 %,48.18181818181818 %,21.66666666666667 %,14.705882352941178 %,47.38095238095239 %,28.935185185185187 %,71.41975308641975 %
222,El Salvador,56.666666666666664 %,55.952380952380956 %,73.46153846153845 %,68.14285714285714 %,25 %,79.76190476190477 %,100 %,67.70833333333334 %,70.3125 %,62.083333333333336 %,11.11111111111111 %,41.59090909090909 %,5 %,54.70588235294118 %,67.38095238095238 %,40.41666666666667 %,77.62345679012346 %
226,Equatorial Guinea,17.82312925170068 %,30.119047619047624 %,48.717948717948715 %,10 %,4.166666666666666 %,45.6845238095238 %,100 %,50 %,48.4375 %,35.833333333333336 %,18.637566137566136 %,39.090909090909086 %,5.333333333333333 %,34.11764705882353 %,55.29761904761904 %,13.194444444444445 %,47.253086419753096 %
232,Eritrea,9.523809523809524 %,28.452380952380953 %,53.205128205128204 %,30.619047619047617 %,2.7777777777777777 %,43.154761904761905 %,100 %,29.166666666666668 %,59.375 %,30.833333333333336 %,11.11111111111111 %,21.818181818181817 %,0 %,34.11764705882353 %,59.76190476190476 %,11.342592592592592 %,31.7283950617284 %
233,Estonia,54.16666666666667 %,54.49404761904761 %,66.98717948717949 %,55.079365079365076 %,22.22222222222222 %,67.68707482993197 %,80 %,79.16666666666666 %,82.14285714285714 %,60.64814814814814 %,52.77777777777778 %,52.04545454545454 %,21.66666666666667 %,76.47058823529412 %,69.76190476190474 %,35.90909090909091 %,52.63888888888888 %
748,Eswatini,30.59523809523809 %,55.952380952380956 %,60.89743589743589 %,42.714285714285715 %,6.944444444444445 %,75.44642857142858 %,100 %,64.58333333333334 %,50 %,38.333333333333336 %,30.555555555555557 %,30.909090909090907 %,16.666666666666668 %,12.5 %,61.42857142857142 %,27.77777777777778 %,70.9567901234568 %
231,Ethiopia,37.31292517006802 %,72.61904761904762 %,80.76923076923077 %,27.714285714285715 %,37.5 %,75.96726190476191 %,100 %,41.66666666666667 %,46.875 %,47.083333333333336 %,26.34920634920635 %,40 %,20.999999999999996 %,0 %,58.0952380952381 %,18.40277777777778 %,76.41975308641975 %
